NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5
Nico Rosberg,Super (13),Soft (17),Super (9),Soft (18),
Kimi Raikkonen,Super (12),Soft (17),Super (8),Soft (20),
Lewis Hamilton,Super (13),Medium (15),Super (13),Soft (16),
Daniel Ricciardo,Super (6),Soft (18),Soft (18),Medium (15),
Romain Grosjean,Super (11),Super (16),Super (13),Soft (17),
Max Verstappen,Super (10),Soft (16),Medium (20),Super (11),
Daniil Kvyat,Soft (16),Soft (18),Super (10),Super (12),
Felipe Massa,Super (7),Medium (22),Medium (27),,
Valtteri Bottas,Super (8),Medium (26),Soft (22),,
Stoffel Vandoorne,Super (9),Soft (16),Soft (16),Super (15),
Kevin Magnussen,Soft (12),Super (12),Super (14),Super (18),
Marcus Ericsson,Soft (13),Soft (16),Medium (27),,
Pascal Wehrlein,Soft (11),Soft (18),Super (12),Super (15),
Felipe Nasr,Soft (10),Soft (20),Medium (17),Super (9),
Nico Hulkenberg,Super (1),Soft (15),Medium (19),Super (16),Super (5)
Sergio Perez,Super (2),Super (12),Soft (23),Super (19),
Rio Haryanto,Soft (12),Soft (19),Medium (13),Super (12),
Carlos Sainz Jnr,Soft (2),Medium (18),Soft (9),,
Esteban Gutierrez,Super (8),Super (1),,,
Jenson Button,Super (6),,,,
