NAME,YEAR,LENGTH,LAPS,DOWNFORCE,LATERAL,ASPHALT_ABR,ASPHALT_GRP,TIRE_STRESS,AIR_TEMP_MAX,AIR_TEMP_MIN,T_TEMP_MAX,T_TEMP_MIN,SECTOR_1,TIME_1,SECTOR_2,TIME_2,SECTOR_3,TIME_3,TIRE
Austrailia,2016,5.30,58,4,1,3,1,1,24.7,22.2,38.4,26.8,,,,,,,
Bahrain,2016,5.41,57,3,3,5,4,3,22.6,21.2,29.6,25.9,,,,,,,
China,2016,5.45,56,3,4,3,3,4,21.9,20.3,37.3,45.3,,,,,,,
Austrailia,2015,5.30,58,4,1,3,1,1,21,17,38,29,,,,,,,
Malaysia,2015,5.54,56,3,4,3,3,4,35.4,32.7,61.4,53,,,,,,,
China,2015,5.45,56,3,4,3,3,4,22.2,20.5,46.6,40.3,,,,,,,
Spain,2015,4.65,66,4,4,4,4,4,28.3,25.3,51.9,45.6,,,,,,,
Monaco,2015,3.34,78,5,1,1,1,1,19.4,18,40.1,31.5,,,,,,,
Canada,2015,4.36,70,2,1,1,1,2,22,20.2,42.3,37.6,,,,,,,
Austria,2015,4.33,71,4,3,1,2,2,16,14,35.6,27.1,,,,,,,
Brittan,2015,5.89,52,4,5,3,4,5,20.6,17.3,38.9,23.9,,,,,,,
Hungry,2015,4.38,70,4,4,3,4,3,24.9,22,49.2,40.7,,,,,,,
Belgium,2015,7,44,2,4,3,4,5,23,22,37,33,,,,,,,
Italy,2015,5.79,53,1,2,3,2,5,23,22,39,38,,,,,,,
Singapore,2015,5.06,61,5,2,3,1,2,30.3,28.7,37.4,33.5,,,,,,,
Japan,2015,5.8,53,3,5,3,4,5,28.6,27.2,42.4,35.3,,,,,,,
Russia,2015,5.84,53,4,5,1,4,2,18.8,17.9,28,25.6,,,,,,,
USA,2015,5.51,56,3,4,3,2,3,17.8,17.2,19.4,17.8,,,,,,,
Mexico,2015,4.3,71,2,3,0,4,0,25.2,22.1,56.5,42.3,,,,,,,
Brazil,2015,4.3,71,4,4,3,3,3,25.8,22.1,47.3,38.2,,,,,,,
Abu_Dhabi,2015,5.55,55,3,3,2,2,2,27,25.1,29.3,27.5,,,,,,,
